80002,2016-11-01 09,31,18,10.0
80002,2016-11-01 10,31,21,5.0
80002,2016-11-01 11,28,18,0.0
80002,2016-11-01 12,21,16,1.0
80002,2016-11-01 13,15,14,0.0
80002,2016-11-01 14,23,16,4.0
80002,2016-11-01 15,26,16,15.0
80002,2016-11-01 16,23,16,18.0
80002,2016-11-01 17,28,17,34.0
80002,2016-11-01 18,49,29,36.0
80002,2016-11-01 19,55,34,40.0
80002,2016-11-01 20,73,55,52.0
80002,2016-11-01 21,63,42,54.0
80002,2016-11-01 22,65,46,61.0
80002,2016-11-01 23,56,38,52.0
80002,2016-11-02 00,50,31,51.0
80002,2016-11-02 01,48,34,53.0
80002,2016-11-02 02,41,28,52.0
80002,2016-11-02 03,36,23,49.0
80002,2016-11-02 04,36,24,53.0
80002,2016-11-02 05,34,22,64.0
80002,2016-11-02 06,35,22,55.0
80002,2016-11-02 07,38,27,57.0
80002,2016-11-02 08,30,22,53.0
80002,2016-11-02 09,34,30,34.0
80002,2016-11-02 10,41,46,26.0
80002,2016-11-02 11,50,62,18.0
80002,2016-11-02 12,57,71,15.0
80002,2016-11-02 13,63,80,16.0
80002,2016-11-02 14,67,88,16.0
80002,2016-11-02 15,71,92,17.0
80002,2016-11-02 16,72,91,24.0
80002,2016-11-02 17,79,97,39.0
80002,2016-11-02 18,95,119,58.0
80002,2016-11-02 19,109,140,51.0
80002,2016-11-02 20,111,153,58.0
80002,2016-11-02 21,144,202,91.0
80002,2016-11-02 22,157,218,98.0
80002,2016-11-02 23,138,207,84.0
80002,2016-11-03 00,129,194,74.0
80002,2016-11-03 01,128,195,77.0
80002,2016-11-03 02,131,218,71.0
80002,2016-11-03 03,130,230,61.0
80002,2016-11-03 04,138,241,59.0
80002,2016-11-03 05,161,299,67.0
80002,2016-11-03 06,195,479,63.0
80002,2016-11-03 07,246,723,69.0
80002,2016-11-03 08,238,712,69.0
80002,2016-11-03 09,90,193,57.0
80002,2016-11-03 10,60,91,37.0
80002,2016-11-03 11,82,122,16.0
80002,2016-11-03 12,88,131,17.0
80002,2016-11-03 13,90,138,20.0
80002,2016-11-03 14,83,130,18.0
80002,2016-11-03 15,71,117,19.0
80002,2016-11-03 16,59,101,22.0
80002,2016-11-03 17,51,84,34.0
80002,2016-11-03 18,59,91,72.0
80002,2016-11-03 19,67,103,88.0
80002,2016-11-03 20,58,90,69.0
80002,2016-11-03 21,50,82,59.0
80002,2016-11-03 22,42,68,44.0
80002,2016-11-03 23,41,67,43.0
80002,2016-11-04 00,35,59,38.0
80002,2016-11-04 01,34,59,37.0
80002,2016-11-04 02,34,61,39.0
80002,2016-11-04 03,35,61,40.0
80002,2016-11-04 04,40,67,39.0
80002,2016-11-04 05,39,67,39.0
80002,2016-11-04 06,38,65,38.0
80002,2016-11-04 07,41,69,38.0
80002,2016-11-04 08,49,79,34.0
