日期,汽车沟1上煤量,汽车沟2上煤量,煤场1上煤量,煤场2上煤量
2022-06-01,903.7131258638856,1423.7376302083333,3299.752367331006,1601.6464174250257
2022-06-02,907.6907552083336,592.2744140625,4507.995645441784,2694.2208259123854
2022-06-03,500.5130208333334,505.3411458333334,3068.9560546875,1320.8968098958335
2022-06-04,1179.427734375,1236.294921875,1422.5533854166672,1325.7434895833333
2022-06-05,303.4765625,1718.673828125,5044.43359375,3169.595703125
2022-06-06,812.7729633080778,1165.053533958342,3459.165376179794,2923.870442708333
2022-06-07,531.3020833333331,1914.7330729166665,4740.008463541668,3482.268880208333
2022-06-08,1269.366732809993,1789.784857790586,4982.668070857755,2808.598307291667
2022-06-09,1176.666015625,1820.9690475270072,4210.699752321507,2742.594872026486
2022-06-10,1245.6481587521662,1286.658575418832,3801.0666184241873,2441.083678654815
2022-06-11,1046.9687499999995,1681.6874999999995,3881.7805163213243,1734.1315104166665
2022-06-12,855.3125,821.8134205785027,3824.9938241130076,2573.7083803084897
2022-06-13,964.1393229166666,131.49479166666666,3871.1165992145807,2135.710223702086
2022-06-14,2277.002734498441,1006.046875,3865.58203125,889.62109375
2022-06-15,2647.0730308715138,434.56640625,4776.1875,1392.3984375
2022-06-16,1145.71875,1151.5234375,5069.04296875,3098.38671875
2022-06-17,775.25390625,819.2423124862544,6037.735260223519,2566.5429869562504
2022-06-18,2254.6504533886714,1291.5031924446616,4354.706828149919,1064.0848385167483
2022-06-19,2037.03515625,1231.26953125,3273.263345380714,2475.588865303267
2022-06-20,3466.2135416666633,1323.5651041666667,3414.4525698931457,620.4834718954953
2022-06-21,1713.7116313224667,365.0719184284803,1536.9010416666667,837.8505054183868
2022-06-22,2271.15234375,2090.46484375,4291.30078125,2670.96484375
2022-06-23,787.271484375,2047.732421875,2832.313525991456,2127.111328125
2022-06-24,828.7871905598295,1147.6885683691216,4081.884080112629,1855.7356770833335
2022-06-25,2185.9765625,1471.6484375,4407.15625,876.46875
2022-06-26,1680.6725974766064,2157.2897849766064,4685.223958333333,620.6640625
2022-06-27,1883.7121209934994,1154.2578125,3491.859375,2615.5613165065006
2022-06-28,1293.2949883834078,720.0771863239643,14930.884479001614,-19867.700155716506
2022-06-29,4236.3664455454855,986.34375,0,975.78125
2022-06-30,2397.9520764188396,1836.9099027478278,4830.466145833332,1499.09375
2022-07-01,1005.2789548969886,1225.6897951030114,4981.890625,1390.90625
