德州旅游攻略,,9500,53,深度游,聊城,https://travel.qunar.com/youji/7716389
青岛旅游攻略,,2500,3,第一次,青岛站,https://travel.qunar.com/youji/7080679
,,,,,,https://travel.qunar.com/youji/6488513
青岛旅游攻略,,1888,7,海滨海岛,栈桥,https://travel.qunar.com/youji/7087412
济南旅游攻略,,800,4,美食,山东博物馆,https://travel.qunar.com/youji/6966001
日照旅游攻略,,1000,3,摄影,日照渔香家园,https://travel.qunar.com/youji/6514032
德州旅游攻略,山东之旅：看山东美景，品齐鲁文化（二）,9500,53,深度游,"['聊城', '山陕会馆', '中华水上古城', '中国运河文化博物馆', '孔繁森同志纪念馆', '中华水上古城', '武训先生纪念馆', '德州', '苏禄王墓', '古运河风景区', '德州市博物馆', '庆云', '海岛金山寺景区', '无棣古城旅游景区', '大觉寺', '中国孙子兵法城', '魏氏庄园', '滨州', '杜受田故居', '东营', '东营新世纪广场', '黄河口生态旅游区', '黄河口生态旅游区', '孙子文化园', '广饶', '东营历史博物馆', '东营孙武祠', '月河公园', '中国古车博物馆', '齐文化博物馆', '管仲纪念馆', '淄博', '淄博市博物馆', '王渔洋纪念馆-王渔洋故居', '博山范公祠景区', '中国陶瓷琉璃馆', '淄博聊斋城', '焦裕禄纪念馆', '博山开元溶洞', '沂源九天洞', '沂源', '沂蒙山旅游区沂山景区', '青州', '青州博物馆', '范公亭公园', '云门山风景区', '青州古城', '潍坊', '郑板桥纪念馆', '十笏园', '关帝庙', '世界风筝都纪念广场', '人民广场', '潍坊风筝博物馆', '莱州', '龙口南山旅游景区', '龙口南山旅游景区', '蓬莱', '三仙山风景区', '蓬莱豪庭酒店', '长岛']",https://travel.qunar.com/youji/7716389
青岛旅游攻略,两天两夜青岛旅游全攻略‖这个周末去青岛啤酒节喝正宗青岛啤酒,2500,3,第一次,"['青岛站', '栈桥', '崂山', '奥帆中心游艇', '八大关', '海军博物馆', '鲁迅公园', '青岛海底世界']",https://travel.qunar.com/youji/7080679
,,,,,[],https://travel.qunar.com/youji/6488513
青岛旅游攻略,【旅行蜜语】青岛，风情万种的海滨城市---不得不爱,1888,7,海滨海岛,"['栈桥', '老舍公园', '小红楼美术馆', '青岛书房', '青岛邮电博物馆', '良友书坊', '青岛海底世界', '中国海洋大学(鱼山校区)', '第一海水浴场', '八大关', '第二海水浴场', '公主楼', '花石楼', '青岛啤酒博物馆', '天幕城', '五四广场', '青岛奥帆中心', '德国监狱旧址博物馆', '圣弥厄尔教堂', '劈柴院', '圣保罗教堂', '萧军萧红舒群故居', '信号山公园', '青岛德国总督楼旧址博物馆', '老舍故居', '中山公园', '青岛动物园', '石老人海水浴场']",https://travel.qunar.com/youji/7087412
