Currency Pair,Quote Date,Near Value Date,Far Value Date,Bid Price,Ask Price
AUD/CAD,2023-08-30,2023-08-31,2023-09-01,0.0000008000,0.0000389000
AUD/CHF,2023-08-30,2023-08-31,2023-09-01,-0.0000619000,-0.0000271000
AUD/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0005559000,-0.0002471000
AUD/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0001981000,-0.0000042000
AUD/HKD,2023-08-30,2023-08-31,2023-09-01,-0.0003080000,0.0000110000
AUD/HUF,2023-08-30,2023-08-31,2023-09-01,0.0438051000,0.0563871000
AUD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0147700000,-0.0115100000
AUD/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0001197000,0.0001344000
AUD/NZD,2023-08-30,2023-08-31,2023-09-01,0.0000144000,0.0000591000
AUD/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0002362000,0.0000315000
AUD/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0001445000,0.0001615000
AUD/USD,2023-08-30,2023-08-31,2023-09-01,-0.0000047000,0.0000534000
AUD/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0010753000,0.0020697000
CAD/CHF,2023-08-30,2023-08-31,2023-09-01,-0.0000835000,-0.0000468000
CAD/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0007279000,-0.0004241000
CAD/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0003270000,-0.0001219000
CAD/HKD,2023-08-30,2023-08-31,2023-09-01,-0.0004570000,-0.0001410000
CAD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0191700000,-0.0157100000
CAD/MXN,2023-08-30,2023-08-31,2023-09-01,0.0014374000,0.0028206000
CAD/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0002997000,-0.0000365000
CAD/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0004410000,-0.0001552000
CAD/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0002660000,0.0000580000
CHF/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0002775000,0.0001515000
CHF/DKK,2023-08-30,2023-08-31,2023-09-01,0.0002734000,0.0005921000
CHF/HKD,2023-08-30,2023-08-31,2023-09-01,0.0002446000,0.0006434000
CHF/HUF,2023-08-30,2023-08-31,2023-09-01,0.1072200000,0.1306700000
CHF/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0129800000,-0.0074100000
CHF/NOK,2023-08-30,2023-08-31,2023-09-01,0.0007450000,0.0011672000
CHF/PLN,2023-08-30,2023-08-31,2023-09-01,0.0009394000,0.0011781000
CHF/SEK,2023-08-30,2023-08-31,2023-09-01,0.0005712000,0.0010228000
CHF/SGD,2023-08-30,2023-08-31,2023-09-05,0.0002945000,0.0008095000
CHF/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0035864000,0.0052526000
CNH/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0015500000,-0.0007020000
