Currency Pair,Quote Date,Near Value Date,Far Value Date,Bid Price,Ask Price
AUD/CAD,2023-08-31,2023-09-01,2023-09-05,0.000004,0.000156
AUD/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000224,-0.000085
AUD/CNH,2023-08-31,2023-09-01,2023-09-05,-0.001162,-0.000028
AUD/DKK,2023-08-31,2023-09-01,2023-09-05,-0.000729,0.000033
AUD/HKD,2023-08-31,2023-09-01,2023-09-05,-0.000820,0.000455
AUD/HUF,2023-08-31,2023-09-01,2023-09-05,0.217070,0.251730
AUD/JPY,2023-08-31,2023-09-01,2023-09-05,-0.051740,-0.038790
AUD/NOK,2023-08-31,2023-09-01,2023-09-05,-0.000569,0.000419
AUD/NZD,2023-08-31,2023-09-01,2023-09-05,0.000058,0.000236
AUD/SEK,2023-08-31,2023-09-01,2023-09-05,-0.000831,0.000229
AUD/USD,2023-08-31,2023-09-01,2023-09-05,-0.000021,0.000211
AUD/ZAR,2023-08-31,2023-09-01,2023-09-05,0.004147,0.008090
CAD/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000309,-0.000162
CAD/CNH,2023-08-31,2023-09-01,2023-09-05,-0.001767,-0.000603
CAD/DKK,2023-08-31,2023-09-01,2023-09-05,-0.001263,-0.000457
CAD/HKD,2023-08-31,2023-09-01,2023-09-05,-0.001383,-0.000076
CAD/JPY,2023-08-31,2023-09-01,2023-09-05,-0.068180,-0.054450
CAD/MXN,2023-08-31,2023-09-01,2023-09-05,0.005771,0.011385
CAD/NOK,2023-08-31,2023-09-01,2023-09-05,-0.001314,-0.000271
CAD/SEK,2023-08-31,2023-09-01,2023-09-05,-0.001632,-0.000506
CHF/CNH,2023-08-31,2023-09-01,2023-09-05,0.000481,0.001889
CHF/DKK,2023-08-31,2023-09-01,2023-09-05,0.000856,0.002130
CHF/HKD,2023-08-31,2023-09-01,2023-09-05,0.001313,0.002834
CHF/HUF,2023-08-31,2023-09-01,2023-09-05,0.489550,0.547050
CHF/JPY,2023-08-31,2023-09-01,2023-09-05,-0.044700,-0.023040
CHF/NOK,2023-08-31,2023-09-01,2023-09-05,0.002325,0.003972
CHF/PLN,2023-08-31,2023-09-01,2023-09-05,0.002489,0.003234
