Currency Pair,Quote Date,Near Value Date,Far Value Date,Bid Price,Ask Price
AUD/CAD,2023-08-30,2023-08-31,2023-09-01,8e-07,3.89e-05
AUD/CHF,2023-08-30,2023-08-31,2023-09-01,-6.19e-05,-2.71e-05
AUD/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0005559,-0.0002471
AUD/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0001981,-4.2e-06
AUD/HKD,2023-08-30,2023-08-31,2023-09-01,-0.000308,1.1e-05
AUD/HUF,2023-08-30,2023-08-31,2023-09-01,0.0438051,0.0563871
AUD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.01477,-0.01151
AUD/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0001197,0.0001344
AUD/NZD,2023-08-30,2023-08-31,2023-09-01,1.44e-05,5.91e-05
AUD/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0002362,3.15e-05
AUD/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0001445,0.0001615
AUD/USD,2023-08-30,2023-08-31,2023-09-01,-4.7e-06,5.34e-05
AUD/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0010753,0.0020697
CAD/CHF,2023-08-30,2023-08-31,2023-09-01,-8.35e-05,-4.68e-05
CAD/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0007279,-0.0004241
CAD/DKK,2023-08-30,2023-08-31,2023-09-01,-0.000327,-0.0001219
CAD/HKD,2023-08-30,2023-08-31,2023-09-01,-0.000457,-0.000141
CAD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.01917,-0.01571
CAD/MXN,2023-08-30,2023-08-31,2023-09-01,0.0014374,0.0028206
CAD/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0002997,-3.65e-05
CAD/SEK,2023-08-30,2023-08-31,2023-09-01,-0.000441,-0.0001552
CAD/SGD,2023-08-30,2023-08-31,2023-09-05,-0.000266,5.8e-05
CHF/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0002775,0.0001515
CHF/DKK,2023-08-30,2023-08-31,2023-09-01,0.0002734,0.0005921
CHF/HKD,2023-08-30,2023-08-31,2023-09-01,0.0002446,0.0006434
CHF/HUF,2023-08-30,2023-08-31,2023-09-01,0.10722,0.13067
CHF/JPY,2023-08-30,2023-08-31,2023-09-01,-0.01298,-0.00741
CHF/NOK,2023-08-30,2023-08-31,2023-09-01,0.000745,0.0011672
CHF/PLN,2023-08-30,2023-08-31,2023-09-01,0.0009394,0.0011781
CHF/SEK,2023-08-30,2023-08-31,2023-09-01,0.0005712,0.0010228
CHF/SGD,2023-08-30,2023-08-31,2023-09-05,0.0002945,0.0008095
CHF/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0035864,0.0052526
CNH/JPY,2023-08-30,2023-08-31,2023-09-01,-0.00155,-0.000702
DKK/NOK,2023-08-30,2023-08-31,2023-09-01,1.08e-05,6.41e-05
DKK/SEK,2023-08-30,2023-08-31,2023-09-01,-1.66e-05,4.08e-05
EUR/AUD,2023-08-30,2023-08-31,2023-09-01,-9e-06,5.43e-05
EUR/CAD,2023-08-30,2023-08-31,2023-09-01,2.3e-05,8.26e-05
EUR/CHF,2023-08-30,2023-08-31,2023-09-01,-9.44e-05,-2.89e-05
EUR/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0007364,-0.0003846
EUR/CZK,2023-08-30,2023-08-31,2023-09-01,0.001335,0.003075
EUR/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0002226,8.17e-05
EUR/GBP,2023-08-30,2023-08-31,2023-09-01,1.16e-05,6.99e-05
EUR/HKD,2023-08-30,2023-08-31,2023-09-01,-0.0003241,4.51e-05
EUR/HUF,2023-08-30,2023-08-31,2023-09-01,0.07914,0.09746
EUR/ILS,2023-08-30,2023-08-31,2023-09-01,-4.85e-05,0.0001385
EUR/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0226,-0.01746
EUR/MXN,2023-08-30,2023-08-31,2023-09-01,0.0027695,0.0048525
EUR/NOK,2023-08-30,2023-08-31,2023-09-01,-2.72e-05,0.0003634
EUR/NZD,2023-08-30,2023-08-31,2023-09-01,5.01e-05,0.0001213
EUR/PLN,2023-08-30,2023-08-31,2023-09-01,0.000619,0.0008138
EUR/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0002305,0.0001954
EUR/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0001555,0.0003275
EUR/TRY,2023-08-30,2023-08-31,2023-09-01,0.0151888,0.0200402
EUR/USD,2023-08-30,2023-08-31,2023-09-01,3.27e-05,7.83e-05
EUR/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0021155,0.0036965
