2019-01-01,-3¡æ,-16¡æ,13
2019-01-02,-2¡æ,-14¡æ,12
2019-01-03,-3¡æ,-13¡æ,10
2019-01-04,-4¡æ,-13¡æ,9
2019-01-05,-1¡æ,-11¡æ,10
2019-01-06,-1¡æ,-13¡æ,12
2019-01-07,-2¡æ,-11¡æ,9
2019-01-08,-4¡æ,-12¡æ,8
2019-01-09,-1¡æ,-11¡æ,10
2019-01-10,-2¡æ,-12¡æ,10
2019-01-11,0¡æ,-13¡æ,13
2019-01-12,1¡æ,-13¡æ,14
2019-01-13,4¡æ,-12¡æ,16
2019-01-14,0¡æ,-11¡æ,11
2019-01-15,-6¡æ,-13¡æ,7
2019-01-16,-5¡æ,-15¡æ,10
2019-01-17,0¡æ,-13¡æ,13
2019-01-18,0¡æ,-11¡æ,11
2019-01-19,-1¡æ,-11¡æ,10
2019-01-20,-2¡æ,-12¡æ,10
2019-01-21,1¡æ,-14¡æ,15
2019-01-22,-1¡æ,-16¡æ,15
2019-01-23,4¡æ,-12¡æ,16
2019-01-24,1¡æ,-11¡æ,12
2019-01-25,-2¡æ,-11¡æ,9
2019-01-26,1¡æ,-10¡æ,11
2019-01-27,0¡æ,-9¡æ,9
2019-01-28,4¡æ,-10¡æ,14
2019-01-29,4¡æ,-8¡æ,12
2019-01-30,-2¡æ,-8¡æ,6
2019-01-31,-3¡æ,-13¡æ,10
2019-02-01,1¡æ,-15¡æ,16
2019-02-02,2¡æ,-9¡æ,11
2019-02-03,1¡æ,-10¡æ,11
2019-02-04,7¡æ,-9¡æ,16
2019-02-05,9¡æ,-5¡æ,14
2019-02-06,6¡æ,-11¡æ,17
2019-02-07,-2¡æ,-11¡æ,9
2019-02-08,-2¡æ,-13¡æ,11
2019-02-09,-4¡æ,-10¡æ,6
2019-02-10,2¡æ,-10¡æ,12
2019-02-11,2¡æ,-10¡æ,12
2019-02-12,4¡æ,-7¡æ,11
2019-02-13,5¡æ,-7¡æ,12
2019-02-14,1¡æ,-6¡æ,7
