2019-01-01,-11¡æ,-21¡æ,10
2019-01-02,-10¡æ,-20¡æ,10
2019-01-03,-12¡æ,-24¡æ,12
2019-01-04,-13¡æ,-24¡æ,11
2019-01-05,-13¡æ,-25¡æ,12
2019-01-06,-16¡æ,-25¡æ,9
2019-01-07,-15¡æ,-26¡æ,11
2019-01-08,-11¡æ,-24¡æ,13
2019-01-09,-10¡æ,-21¡æ,11
2019-01-10,-10¡æ,-19¡æ,9
2019-01-11,-8¡æ,-20¡æ,12
2019-01-12,-12¡æ,-23¡æ,11
2019-01-13,-13¡æ,-23¡æ,10
2019-01-14,-15¡æ,-22¡æ,7
2019-01-15,-15¡æ,-24¡æ,9
2019-01-16,-18¡æ,-27¡æ,9
2019-01-17,-19¡æ,-28¡æ,9
2019-01-18,-15¡æ,-28¡æ,13
2019-01-19,-14¡æ,-24¡æ,10
2019-01-20,-14¡æ,-23¡æ,9
2019-01-21,-14¡æ,-22¡æ,8
2019-01-22,-15¡æ,-23¡æ,8
2019-01-23,-11¡æ,-21¡æ,10
2019-01-24,-10¡æ,-20¡æ,10
2019-01-25,-10¡æ,-16¡æ,6
2019-01-26,-6¡æ,-18¡æ,12
2019-01-27,-12¡æ,-21¡æ,9
2019-01-28,-9¡æ,-17¡æ,8
2019-01-29,-6¡æ,-22¡æ,16
2019-01-30,-12¡æ,-16¡æ,4
2019-01-31,-16¡æ,-25¡æ,9
2019-02-01,-17¡æ,-27¡æ,10
2019-02-02,-16¡æ,-28¡æ,12
2019-02-03,-17¡æ,-28¡æ,11
2019-02-04,-19¡æ,-30¡æ,11
2019-02-05,-23¡æ,-34¡æ,11
2019-02-06,-22¡æ,-34¡æ,12
2019-02-07,-21¡æ,-33¡æ,12
2019-02-08,-14¡æ,-28¡æ,14
2019-02-09,-13¡æ,-22¡æ,9
2019-02-10,-13¡æ,-27¡æ,14
2019-02-11,-15¡æ,-28¡æ,13
2019-02-12,-12¡æ,-26¡æ,14
2019-02-13,-8¡æ,-23¡æ,15
2019-02-14,-7¡æ,-19¡æ,12
2019-02-15,-7¡æ,-20¡æ,13
2019-02-16,-2¡æ,-16¡æ,14
2019-02-17,1¡æ,-12¡æ,13
2019-02-18,2¡æ,-16¡æ,18
2019-02-19,-1¡æ,-14¡æ,13
2019-02-20,1¡æ,-17¡æ,18
2019-02-21,3¡æ,-12¡æ,15
2019-02-22,2¡æ,-13¡æ,15
2019-02-23,5¡æ,-13¡æ,18
2019-02-24,0¡æ,-10¡æ,10
2019-02-25,-1¡æ,-13¡æ,12
2019-02-26,1¡æ,-12¡æ,13
2019-02-27,4¡æ,-9¡æ,13
2019-02-28,1¡æ,-8¡æ,9
