orderid,bikeid,userid,time,start_location_x,start_location_y,end_time,end_location_x,end_location_y,lag,weekday,hour
381450,354203,958,2016/8/28 10:03,121.476,31.27,2016/8/28 10:24,121.484,31.263,21,7,10
638449,190411,5564,2016/8/20 17:44,121.477,31.267,2016/8/20 18:35,121.441,31.304,51,6,17
1648085,157833,7293,2016/8/6 21:17,121.48,31.269,2016/8/6 22:05,121.479,31.311,48,6,21
1529422,141622,1776,2016/8/6 13:25,121.495,31.269,2016/8/6 13:35,121.492,31.262,10,6,13
1469096,335127,6598,2016/8/31 17:38,121.489,31.255,2016/8/31 17:53,121.479,31.269,15,3,17
786634,133787,9074,2016/8/4 17:19,121.489,31.264,2016/8/4 18:26,121.492,31.215,67,4,17
589231,301080,14765,2016/8/25 22:25,121.477,31.256,2016/8/25 22:33,121.479,31.263,8,4,22
587046,113469,4306,2016/8/29 14:56,121.492,31.271,2016/8/29 15:31,121.51,31.253,35,1,14
1055049,252922,6291,2016/8/23 22:09,121.473,31.273,2016/8/23 22:36,121.444,31.258,27,2,22
1112479,48741,13445,2016/8/23 15:46,121.493,31.268,2016/8/23 15:49,121.491,31.27,3,2,15
1196012,30630,2862,2016/8/15 18:50,121.484,31.272,2016/8/15 19:00,121.48,31.269,10,1,18
781685,137862,16915,2016/8/27 13:32,121.478,31.271,2016/8/27 13:41,121.47,31.279,9,6,13
860098,50606,14202,2016/8/25 18:16,121.473,31.26,2016/8/25 18:46,121.432,31.265,30,4,18
1109460,57063,6526,2016/8/16 15:22,121.491,31.263,2016/8/16 15:26,121.487,31.269,4,2,15
1430918,204005,6526,2016/8/16 19:01,121.481,31.268,2016/8/16 19:14,121.496,31.276,13,2,19
1261149,154377,13191,2016/8/22 14:33,121.49,31.259,2016/8/22 14:39,121.492,31.253,6,1,14
1329593,203723,3344,2016/8/12 19:17,121.486,31.272,2016/8/12 19:35,121.48,31.269,18,5,19
1139422,305040,974,2016/8/23 16:31,121.477,31.27,2016/8/23 16:41,121.469,31.279,10,2,16
1129426,4805,2976,2016/8/28 15:07,121.48,31.273,2016/8/28 15:18,121.495,31.279,11,7,15
315767,43722,1624,2016/8/7 16:18,121.489,31.26,2016/8/7 16:45,121.467,31.286,27,7,16
969912,151087,2688,2016/8/9 20:47,121.479,31.27,2016/8/9 21:14,121.471,31.293,27,2,20
574102,278627,15305,2016/8/27 11:44,121.489,31.264,2016/8/27 12:21,121.502,31.262,37,6,11
1558321,135219,11284,2016/8/26 13:06,121.48,31.258,2016/8/26 13:12,121.485,31.253,6,5,13
699362,137041,6814,2016/8/8 13:21,121.481,31.258,2016/8/8 13:27,121.486,31.263,6,1,13
348182,37280,14491,2016/8/22 7:10,121.479,31.272,2016/8/22 7:22,121.49,31.279,12,1,7
827196,174700,7278,2016/8/21 20:31,121.49,31.262,2016/8/21 20:52,121.507,31.264,21,7,20
664791,134791,9239,2016/8/5 18:25,121.478,31.27,2016/8/5 18:37,121.475,31.276,12,5,18
290583,59474,2731,2016/8/24 11:48,121.482,31.262,2016/8/24 11:53,121.479,31.265,5,3,11
1455370,163203,6341,2016/8/28 17:50,121.48,31.269,2016/8/28 18:22,121.511,31.281,32,7,17
1113146,293342,2881,2016/8/25 21:56,121.492,31.268,2016/8/25 22:01,121.493,31.269,5,4,21
1190833,192974,16450,2016/8/27 16:52,121.481,31.265,2016/8/27 17:09,121.48,31.274,17,6,16
589736,292081,8215,2016/8/22 0:34,121.483,31.261,2016/8/22 1:30,121.47,31.283,56,1,0
1643537,27852,7129,2016/8/16 23:55,121.479,31.267,2016/8/17 0:03,121.475,31.277,8,2,23
1242500,210205,2691,2016/8/17 16:29,121.476,31.27,2016/8/17 16:40,121.464,31.267,11,3,16
153948,302108,15456,2016/8/26 0:59,121.488,31.271,2016/8/26 1:21,121.508,31.259,22,5,0
1557911,308202,664,2016/8/26 4:58,121.489,31.264,2016/8/26 5:10,121.48,31.269,12,5,4
229599,358932,12489,2016/8/29 8:53,121.488,31.262,2016/8/29 9:03,121.477,31.27,10,1,8
738473,73278,6554,2016/8/8 14:22,121.483,31.257,2016/8/8 14:30,121.488,31.262,8,1,14
290757,196551,16640,2016/8/24 4:06,121.473,31.264,2016/8/24 4:34,121.438,31.286,28,3,4
1645689,135163,11996,2016/8/30 19:43,121.48,31.274,2016/8/30 20:08,121.472,31.292,25,2,19
1020259,103155,7662,2016/8/26 8:34,121.492,31.263,2016/8/26 9:29,121.482,31.241,55,5,8
495120,110949,3666,2016/8/7 19:59,121.483,31.264,2016/8/7 20:19,121.486,31.279,20,7,19
165148,121757,2766,2016/8/21 9:00,121.475,31.261,2016/8/21 9:08,121.478,31.252,8,7,9
171845,162075,14349,2016/8/30 6:57,121.493,31.266,2016/8/30 7:14,121.479,31.268,17,2,6
1591854,153509,5907,2016/8/6 18:04,121.484,31.265,2016/8/6 19:02,121.48,31.27,58,6,18
40231,120287,7035,2016/8/20 1:05,121.477,31.256,2016/8/20 1:24,121.448,31.254,19,6,1
