北京环球度假区,516,北京·北京·通州区,0.0,10499,地址：北京市通州区北京环球度假区
颐和园,30,北京·北京·海淀区,0.82,6020,地址：北京市海淀区新建宫门路19号
恭王府,40,北京·北京·西城区,0.74,4712,地址：北京市西城区前海西街17号
八达岭长城,40,北京·北京·延庆县,0.82,5642,地址：北京市延庆区G6京藏高速58号出口
天安门广场,0.1,北京·北京·东城区,1.0,2175,地址：北京市东城区长安街（天安门和正阳门之间）
圆明园,9.8,北京·北京·海淀区,0.76,3129,地址：北京市海淀区清华西路28号
中国国家博物馆,77.8,北京·北京·东城区,0.7,2969,地址：北京市东城区东长安街16号天安门广场东侧
天坛公园,14.9,北京·北京·东城区,0.8,4124,地址：北京市东城区天坛路甲1号
中国科学技术馆,30,北京·北京·朝阳区,0.0,1678,地址：北京市朝阳区北辰东路5号
故宫博物院,55,北京·北京·东城区,1.0,10322,地址：北京市东城区景山前街4号
北海公园,9.7,北京·北京·西城区,0.76,2154,地址：北京市西城区文津街1号
北京动物园,14.6,北京·北京·西城区,0.72,4189,地址：北京市西直门外大街137号
北京野生动物园,145,北京·北京·大兴区,0.7,4835,地址：北京市大兴区榆垡镇永定河畔的万亩林
中国人民革命军事博物馆,7,北京·北京·海淀区,0.7,1248,地址：北京市海淀区复兴路9号
慕田峪长城,59,北京·北京·怀柔区,0.7,1432,地址：北京市怀柔区渤海镇慕田峪村
北京环球度假区,516,北京·北京·通州区,0.0,10499,地址：北京市通州区北京环球度假区
颐和园,30,北京·北京·海淀区,0.82,6020,地址：北京市海淀区新建宫门路19号
恭王府,40,北京·北京·西城区,0.74,4712,地址：北京市西城区前海西街17号
八达岭长城,40,北京·北京·延庆县,0.82,5642,地址：北京市延庆区G6京藏高速58号出口
天安门广场,0.1,北京·北京·东城区,1.0,2175,地址：北京市东城区长安街（天安门和正阳门之间）
圆明园,9.8,北京·北京·海淀区,0.76,3129,地址：北京市海淀区清华西路28号
中国国家博物馆,77.8,北京·北京·东城区,0.7,2969,地址：北京市东城区东长安街16号天安门广场东侧
天坛公园,14.9,北京·北京·东城区,0.8,4124,地址：北京市东城区天坛路甲1号
中国科学技术馆,30,北京·北京·朝阳区,0.0,1678,地址：北京市朝阳区北辰东路5号
故宫博物院,55,北京·北京·东城区,1.0,10322,地址：北京市东城区景山前街4号
北海公园,9.7,北京·北京·西城区,0.76,2154,地址：北京市西城区文津街1号
北京动物园,14.6,北京·北京·西城区,0.72,4189,地址：北京市西直门外大街137号
北京野生动物园,145,北京·北京·大兴区,0.7,4835,地址：北京市大兴区榆垡镇永定河畔的万亩林
中国人民革命军事博物馆,7,北京·北京·海淀区,0.7,1248,地址：北京市海淀区复兴路9号
慕田峪长城,59,北京·北京·怀柔区,0.7,1432,地址：北京市怀柔区渤海镇慕田峪村
雍和宫,76,北京·北京·东城区,0.76,1144,地址：北京市东城区雍和宫大街12号
北京欢乐谷,298,北京·北京·朝阳区,0.72,1878,地址：北京市朝阳区金蝉西路东四环小武基北路(四方桥东南)
北京海洋馆,145,北京·北京·西城区,0.7,1472,地址：北京市海淀区高粱桥斜街乙18号
景山公园,12.9,北京·北京·西城区,0.74,654,地址：北京市西城区景山前街景山公园
北京天文馆,60,北京·北京·海淀区,0.72,426,地址：西城区西直门外大街138号（动物园对面）
北京·乐谷银滩景区,38,北京·北京·房山区,0.0,1216,地址：北京市房山区张坊镇穆家口村
珍妃井,55,北京·北京·故宫博物院,0.0,70,地址：故宫博物院内
北京汽车博物馆,25,北京·北京·丰台区,0.0,446,地址：北京市丰台区南四环西路126号
中国地质博物馆,15,北京·北京·西城区,0.7,104,地址：西城区西四羊肉胡同15号
香山公园,9.8,北京·北京·海淀区,0.72,420,地址：海淀区买卖街40号 ‎
北京自然博物馆,15,北京·北京·东城区,0.7,836,地址：东城区天桥南大街126号
毛主席纪念堂,34,北京·北京·东城区,0.76,170,地址：东城区前门东大街11号
宝燕乐园(大红门店),258,北京·北京·丰台区,0.0,110,地址：马家堡东路集美家居七号厅（宝燕商城三楼）
鸟巢,60,北京·北京·奥林匹克公园,0.8400000000000001,138,地址：北京市朝阳区国家体育场南路1号
珍宝馆,67.8,北京·北京·故宫博物院,0.0,138,地址：故宫博物院宁寿宫内
水立方,29.5,北京·北京·奥林匹克公园,0.0,170,地址：北京市朝阳区北辰路奥林匹克公园内
司马台长城,40,北京·北京·密云县,0.76,488,地址：北京市密云区古北口镇司马台村北
首都博物馆,100,北京·北京·西城区,0.72,204,地址：北京市西城区复兴门外大街16号
什刹海,150,北京·北京·西城区,0.78,106,地址：北京市西城区东起地安门外大街北侧、南至新街口北大街、西至新街口豁口、北至钟、鼓楼的区域
古北水镇,140,北京·北京·密云县,0.0,2367,地址：北京市密云区古北口镇司马台村古北水镇 （京承高速24号司马台长城出口）
798艺术区,57,北京·北京·朝阳区,0.72,46,地址：北京市朝阳区酒仙桥路2号
中国国家大剧院,27,北京·北京·西城区,0.7,108,地址：西城区西长安街2号
冶仙塔,49,北京·北京·密云县,0.7,194,地址：北京市密云区檀营乡檀营村
八达岭野生动物园,90,北京·北京·延庆县,0.7,1630,地址：北京市延庆区八达岭镇八达岭旅游区
石景山游乐园,10,北京·北京·石景山区,0.7,1418,地址：北京市石景山区石景山路25号
北京欢乐水魔方,119,北京·北京·丰台区,0.0,358,地址：北京市丰台区小屯路11号
